,Locus tag,Mean count,L v S log2 FC,Locus,Protein name
4354,PA3255,286.726769,0.385291833,-,hypothetical protein PA3255
4355,PA5331,45.16714988,0.385427918,pyrE,orotate phosphoribosyltransferase
4356,PA0081,74.47679941,0.385861371,fha1,Fha domain-containing protein
4357,PA0095,59.82197465,0.386284519,-,hypothetical protein PA0095
4358,PA0246,59.82197465,0.386284519,-,major facilitator superfamily transporter
4359,PA3910,86.2808376,0.386743666,eddA,extracelullar DNA degradation protein EddA
4360,PA1192,43.74175659,0.386985691,-,tRNA 2-thiocytidine biosynthesis protein TtcA
4361,PA2647,43.74175659,0.386985691,nuoL,NADH-quinone oxidoreductase subunit L
4362,PA5450,160.35674509999998,0.387247135,wzt,ABC transporter
4363,PA5123,107.0381274,0.388444632,-,hypothetical protein PA5123
4364,PA0239,42.3163633,0.388624251,-,hypothetical protein PA0239
4365,PA4317,42.3163633,0.388624251,-,hypothetical protein PA4317
4366,PA5428,1434.8810640000002,0.389028044,-,transcriptional regulator
4367,PA5047,249.88926119999996,0.389100727,-,hypothetical protein PA5047
4368,PA3486,105.6127341,0.389480078,-,hypothetical protein PA3486
4369,PA1409,55.54579478,0.390409587,aphA,acetylpolyamine aminohydrolase
4370,PA1897,55.54579478,0.390409587,-,hypothetical protein PA1897
4371,PA4946,55.54579478,0.390409587,mutL,DNA mismatch repair protein
4372,PA0884,68.77522625,0.390783821,-,C4-dicarboxylate-binding protein
4373,PA0215,24.81075196,0.391832164,-,malonate transporter MadL
4374,PA1469,67.34983296,0.392104468,-,hypothetical protein PA1469
4375,PA1792,39.46557672,0.392178493,-,"UDP-2,3-diacylglucosamine hydrolase"
4376,PA1896,39.46557672,0.392178493,-,hypothetical protein PA1896
4377,PA2889,39.46557672,0.392178493,atuD,citronellyl-CoA dehydrogenase
4378,PA4120,39.46557672,0.392178493,-,transcriptional regulator
4379,EBG00001435478,2480.718847,0.392248266,NaN,NaN
4380,PA3091,52.695008200000004,0.39342684,-,hypothetical protein PA3091
4381,PA5075,52.695008200000004,0.39342684,-,ABC transporter permease
4382,PA2366,157.9068504,0.393873909,-,uricase
4383,PA0340,108.8644125,0.394846407,-,hypothetical protein PA0340
4384,PA4719,107.4390192,0.39595411,-,transporter
4385,PA1734,63.07365309,0.396318738,-,hypothetical protein PA1734
4386,PA3900,264.3213683,0.396466289,-,transmembrane sensor
4387,PA0355,21.95996538,0.397400741,pfpI,protease PfpI
4388,PA1952,21.95996538,0.397400741,-,hypothetical protein PA1952
4389,PA4742,21.95996538,0.397400741,truB,tRNA pseudouridine synthase B
4390,PA4817,21.95996538,0.397400741,-,hypothetical protein PA4817
4391,PA3834,300.5352665,0.397414734,valS,valine--tRNA ligase
4392,PA0240,267.57304669999996,0.398309545,-,porin
4393,PA3713,317.41726830000005,0.399313694,spdH,spermidine dehydrogenase SpdH
4394,PA5156,270.8247251,0.400096918,-,hypothetical protein PA5156
4395,PA0365,20.53457209,0.400500245,-,hypothetical protein PA0365
4396,PA1017,20.53457209,0.400500245,pauA,pimeloyl-CoA synthetase
4397,PA1763,32.33861027,0.40324316,-,hypothetical protein PA1763
4398,PA0172,116.79316270000001,0.403446535,-,hypothetical protein PA0172
4399,PA3014,116.79316270000001,0.403446535,faoA,fatty acid oxidation complex subunit alpha
4400,PA4174,167.6618858,0.403564901,-,transcriptional regulator
4401,PA1479,3.429852605,0.403706979,ccmE,cytochrome c-type biogenesis protein CcmE
4402,PA4270.1,3.429852605,0.403706979,NaN,NaN
4403,PA2739,191.670854,0.403911072,pheT,phenylalanine--tRNA ligase subunit beta
4404,PA5040,115.36776940000001,0.404608394,pilQ,type 4 fimbrial biogenesis outer membrane protein PilQ
4405,PA5566,96.03587293,0.405736862,-,hypothetical protein PA5566
4406,PA3992,113.94237609999999,0.405794517,-,hypothetical protein PA3992
4407,PA4576,113.94237609999999,0.405794517,-,ATP-dependent protease
4408,PA1176,30.91321698,0.405935526,napF,ferredoxin protein NapF
4409,PA1612,30.91321698,0.405935526,-,hypothetical protein PA1612
4410,PA3953,30.91321698,0.405935526,-,hypothetical protein PA3953
4411,PA5471,187.3946741,0.406258732,-,hypothetical protein PA5471
4412,PA4373,75.27858314,0.407131294,-,hypothetical protein PA4373
4413,PA5552,75.27858314,0.407131294,glmU,bifunctional glucosamine-1-phosphate acetyltransferase/N-acetylglucosamine-1-phosphate uridyltransferase
4414,PA3728,678.1754013999999,0.407679867,-,hypothetical protein PA3728
4415,PA4072,53.09590006,0.408021845,-,amino acid permease
4416,PA4054,84.23183474,0.408094325,ribB,"3,4-dihydroxy-2-butanone-4-phosphate synthase"
4417,PA3754,29.48782369,0.408819869,-,hypothetical protein PA3754
4418,PA0353,204.27667590000001,0.409774267,ilvD,dihydroxy-acid dehydratase
4419,PA3920,51.67050677,0.409966823,-,metal transporting P-type ATPase
4420,PA4586,51.67050677,0.409966823,-,hypothetical protein PA4586
4421,PA0373,39.86646859,0.410879591,ftsY,signal recognition particle receptor FtsY
4422,PA0797,39.86646859,0.410879591,-,transcriptional regulator
4423,PA4490,39.86646859,0.410879591,-,hypothetical protein PA4490
4424,PA4095,16.25839222,0.41115438,-,hypothetical protein PA4095
4425,PA4246,16.25839222,0.41115438,rpsE,30S ribosomal protein S5
4426,PA4729,16.25839222,0.41115438,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase
4427,EBG00001435533,3099.829514,0.411559532,NaN,NaN
4428,PA1310,28.0624304,0.411915119,phnW,2-aminoethylphosphonate--pyruvate transaminase
4429,PA3791,28.0624304,0.411915119,-,hypothetical protein PA3791
4430,PA5460,28.0624304,0.411915119,-,hypothetical protein PA5460
4431,PA2241,50.24511348,0.411996122,pslK,biofilm formation protein PslL
4432,PA5193,50.24511348,0.411996122,yrfI,heat shock protein 33
4433,PA4182,114.343268,0.412783333,-,hypothetical protein PA4182
4434,PA1669,219.7332844,0.413336893,-,hypothetical protein PA1669
4435,PA2435,38.441075299999994,0.413374619,-,cation-transporting P-type ATPase
4436,PA3198,38.441075299999994,0.413374619,-,hypothetical protein PA3198
4437,PA5297,197.1497095,0.413758883,poxB,pyruvate dehydrogenase
4438,PA5451,96.43676479,0.414014943,wzm,LPS efflux transporter membrane protein
4439,PA4222,103.9646231,0.414842568,-,ABC transporter ATP-binding protein
4440,PA3088,26.63703711,0.415244015,-,NAD kinase
4441,PA4504,37.015682,0.416026018,-,ABC transporter permease
4442,PA2684,57.77297179,0.416103576,-,hypothetical protein PA2684
4443,PA0648,47.394326899999996,0.416335654,-,hypothetical protein PA0648
4444,PA4088,47.394326899999996,0.416335654,-,aminotransferase
4445,PA0199,579.0660241,0.416681506,exbD1,biopolymer transport protein ExbD
4446,PA2089,522.1839232,0.416836884,-,hypothetical protein PA2089
4447,PA5110,93.58597821,0.416983348,fbp,"fructose-1,6-bisphosphatase"
4448,PA1530.1,147.70637969999999,0.417167354,NaN,NaN
4449,PA3336,1463.1216689999999,0.417940066,-,major facilitator superfamily transporter
4450,PA4829,116.16955320000001,0.418372218,lpd3,dihydrolipoamide dehydrogenase
4451,PA4342,123.6974115,0.418470527,-,amidase
4452,PA3706,35.59028871,0.4188521,wspC,biofilm formation methyltransferase WspC
4453,PA0105,223.38585469999998,0.418908714,coxB,cytochrome C oxidase subunit II
4454,PA3811,13.40760564,0.419249435,hscB,co-chaperone HscB
4455,PA4890,13.40760564,0.419249435,desT,transcriptional regulator
4456,PA1217,228.0629264,0.420056465,-,2-isopropylmalate synthase
4457,PA5145,98.26304994,0.420677141,-,hypothetical protein PA5145
4458,PA4921,656.3490666,0.421078718,-,hypothetical protein PA4921
4459,PA3709,433.0968425,0.421092244,-,major facilitator superfamily transporter
4460,PA4476,142.0048065,0.421693393,-,hypothetical protein PA4476
4461,PA1083,34.16489542,0.421874361,flgH,flagellar basal body L-ring protein
4462,PA4809,53.49679192,0.422411858,fdhE,formate dehydrogenase subunit epsilon
4463,PA2789,80.35654674,0.42251957,-,hypothetical protein PA2789
4464,PA0381,23.78625053,0.422688869,thiG,thiazole synthase
4465,PA3169,23.78625053,0.422688869,-,methylthioribose-1-phosphate isomerase
4466,PA3285,23.78625053,0.422688869,-,ECF subfamily sigma-70 factor
4467,PA0033,322.85158019999994,0.422957421,-,hypothetical protein PA0033
4468,PA5443,71.40329513,0.422961313,uvrD,DNA-dependent helicase II
4469,PA2136,121.2029732,0.423306022,-,hypothetical protein PA2136
4470,PA3380,110.46798000000001,0.423940204,-,hypothetical protein PA3380
4471,PA5201,187.5728483,0.424000206,-,hypothetical protein PA5201
4472,PA3355,193.67531330000003,0.42443021,-,hypothetical protein PA3355
4473,PA0338,180.04498999999998,0.424480841,-,hypothetical protein PA0338
4474,PA4223,52.07139863,0.424691043,-,ABC transporter ATP-binding protein
4475,PA0488,32.73950213,0.425109905,-,hypothetical protein PA0488
4476,PA1782,263.6532151,0.42512802,-,serine/threonine-protein kinase
4477,PA0462,116.57044499999999,0.425178459,-,hypothetical protein PA0462
4478,PA1299,4.855245895,0.425898288,-,hypothetical protein PA1299
4479,PA1518,4.855245895,0.425898288,-,5-hydroxyisourate hydrolase
4480,PA4372,41.69275374,0.426386318,-,hypothetical protein PA4372
4481,PA4808,41.69275374,0.426386318,selA,selenocysteine synthase
4482,PA3650,68.55250855,0.426815197,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase
4483,PA2320,22.36085724,0.426858963,gntR,GntR family transcriptional regulator
4484,PA2900,22.36085724,0.426858963,-,hypothetical protein PA2900
4485,PA5085,789.4451651,0.427670919,-,transcriptional regulator
4486,PA5497,83.60822518,0.428573378,nrdJa,ribonucleoside-diphosphate reductase
4487,PA0181,98.66394181,0.42870367,-,transcriptional regulator
4488,PA0457,133.4524468,0.429148284,-,hypothetical protein PA0457
4489,PA4561,40.26736045,0.429250449,ribF,bifunctional riboflavin kinase/FMN adenylyltransferase
4490,PA4919,172.9180235,0.429534396,pncB1,nicotinate phosphoribosyltransferase
4491,PA2726,118.39673020000001,0.430469135,-,radical activating enzyme
4492,PA5365,65.70172197,0.430922124,phoU,phosphate uptake regulatory protein PhoU
4493,PA2671,20.93546395,0.431364938,-,hypothetical protein PA2671
4494,PA0513,9.131425765,0.431403688,-,heme d1 biosynthesis protein NirG
4495,PA2506,9.131425765,0.431403688,-,hypothetical protein PA2506
4496,PA3133,9.131425765,0.431403688,-,transcriptional regulator
4497,EBG00001435527,73.22958028,0.431837677,NaN,NaN
4498,PA2273,226.4148154,0.432002318,soxR,redox-sensitive transcriptional activator SoxR
4499,PA1208,182.272167,0.432153657,-,hypothetical protein PA1208
4500,PA0212,6.280639185,0.432977079,mdcE,malonate decarboxylase subunit gamma
4501,PA1668,6.280639185,0.432977079,-,hypothetical protein PA1668
4502,PA2291,6.280639185,0.432977079,-,glucose-sensitive porin
4503,PA2478,6.280639185,0.432977079,-,thiol:disulfide interchange protein DsbD
4504,PA0722,7.706032475,0.43379668,-,hypothetical protein PA0722
4505,PA1021,7.706032475,0.43379668,-,enoyl-CoA hydratase
4506,PA1301,7.706032475,0.43379668,-,transmembrane sensor
4507,PA2033,7.706032475,0.43379668,-,hypothetical protein PA2033
4508,PA3872,7.706032475,0.43379668,narI,respiratory nitrate reductase subunit gamma
4509,PA4148,79.33204531,0.434196394,-,short-chain dehydrogenase
4510,PA2163,46.36982547,0.434886178,-,4-alpha-glucanotransferase
4511,PA3344,37.41657387,0.435505748,recQ,ATP-dependent DNA helicase RecQ
4512,PA3935,70.3787937,0.43596119,tauD,taurine dioxygenase
4513,PA2019,19.51007066,0.436237257,-,multidrug efflux lipoprotein
4514,PA3555,19.51007066,0.436237257,arnD,4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
4515,PA4172,19.51007066,0.436237257,-,nuclease
4516,PA2525,28.46332226,0.4362612,-,hypothetical protein PA2525
4517,PA5102,28.46332226,0.4362612,-,hypothetical protein PA5102
4518,PA5241,1266.506482,0.436302216,ppx,exopolyphosphatase
4519,PA0552,144.6328754,0.436928652,pgk,phosphoglycerate kinase
4520,PA0758,396.4375088,0.437284191,-,hypothetical protein PA0758
4521,PA0036,308.37492960000003,0.437503648,trpB,tryptophan synthase subunit beta
4522,PA4151,105.1672987,0.437514524,acoB,acetoin catabolism protein AcoB
4523,PA4305,44.94443218,0.437751225,rcpC,hypothetical protein PA4305
4524,PA0303,210.3345974,0.438335062,spuG,polyamine transporter PotH
4525,PA3485,35.99118058,0.438936434,-,hypothetical protein PA3485
4526,PA3459,807.1734941000001,0.439281389,-,glutamine amidotransferase
4527,PA5483,67.52800712,0.44035086,algB,two-component response regulator AlgB
4528,PA2217,43.51903889,0.440765491,-,aldehyde dehydrogenase
4529,PA3588,358.3973254,0.440913988,-,porin
4530,PA0379,18.08467737,0.441496752,-,hypothetical protein PA0379
4531,PA2306,18.08467737,0.441496752,ambA,protein AmbA
4532,PA3270,18.08467737,0.441496752,-,hypothetical protein PA3270
4533,PA2933,51.04689721,0.441923205,-,major facilitator superfamily transporter
4534,PA0165,34.56578729,0.442600878,-,hypothetical protein PA0165
4535,PA2249,66.10261383,0.442655255,bkdB,branched-chain alpha-keto acid dehydrogenase complex lipoamide acyltransferase
4536,EBG00001435521,772284.9889,0.442806748,NaN,NaN
4537,PA0285,243.07409950000002,0.44316835,-,hypothetical protein PA0285
4538,PA5447,1935.862262,0.443995501,wbpZ,glycosyltransferase WbpZ
4539,PA4695,25.61253568,0.445159474,ilvH,acetolactate synthase small subunit
4540,PA2445,159.06498249999999,0.445860542,gcvP2,glycine dehydrogenase
4541,PA5173,275.8136017,0.446254804,arcC,carbamate kinase
4542,PA1091,248.1520631,0.4468055,fgtA,flagellar glycosyl transferase FgtA
4543,PA5418,208.2855945,0.447715201,soxA,sarcosine oxidase subunit alpha
4544,PA3648,48.19611062,0.447738304,opr86,outer membrane protein Opr86
4545,PA4207,139.33219409999998,0.447955011,mexI,resistance-nodulation-cell division (RND) efflux transporter
4546,PA3736,69.35429228,0.449297653,hom,homoserine dehydrogenase
4547,PA0021,89.08708064,0.449939235,-,hypothetical protein PA0021
4548,PA2482,24.18714239,0.450142571,-,cytochrome C
4549,PA3802,24.18714239,0.450142571,hisS,histidine--tRNA ligase
4550,PA0525,870.6925825999999,0.450437822,-,denitrification protein NorD
4551,PA2381,75.45675729999999,0.450597587,-,hypothetical protein PA2381
4552,PA0243,31.71500071,0.450720996,-,transcriptional regulator
4553,PA0551,39.24285902,0.450852573,epd,D-erythrose 4-phosphate dehydrogenase
4554,PA5261,39.24285902,0.450852573,algR,alginate biosynthesis regulatory protein AlgR
4555,PA1637,46.77071733,0.450856012,kdpE,two-component response regulator KdpE
4556,PA4835,46.77071733,0.450856012,-,hypothetical protein PA4835
4557,PA3781,225.56848819999996,0.450965707,-,transporter
4558,PA4079,130.3789425,0.451285682,-,short-chain dehydrogenase
4559,PA2395,67.92889899,0.451732967,pvdO,pyoverdine biosynthesis protein PvdO
4560,PA4030,105.9690824,0.452318388,-,hypothetical protein PA4030
4561,PA5538,352.8739264,0.452758691,amiA,N-acetylmuramoyl-L-alanine amidase
4562,PA4878,201.1586281,0.45298473,-,transcriptional regulator
4563,PA3822,15.23389079,0.453236807,-,preprotein translocase subunit YajC
4564,PA4306,15.23389079,0.453236807,flp,type IVb pilin Flp
4565,PA1345,52.87318236,0.453512718,-,hypothetical protein PA1345
4566,PA3063,45.34532404,0.454129757,pelB,pellicle/biofilm biosynthesis protein PelB
4567,PA2625,37.81746573,0.454623503,-,hypothetical protein PA2625
4568,PA3971,37.81746573,0.454623503,-,hypothetical protein PA3971
4569,PA2113,30.28960742,0.455217896,opdO,pyroglutatmate porin OpdO
4570,PA3954,72.60597072,0.455322154,-,hypothetical protein PA3954
4571,PA5084,516.5268934999999,0.457252893,-,oxidoreductase
4572,PA1219,43.91993075,0.457573307,-,hypothetical protein PA1219
4573,PA5052,77.28304245,0.458371726,-,hypothetical protein PA5052
4574,PA3038,95.59043752,0.458444807,-,porin
4575,PA3986,36.39207244,0.458635855,-,hypothetical protein PA3986
4576,PA4292,83.38550748,0.458637696,-,phosphate transporter
4577,PA0572,234.2990221,0.459372115,-,hypothetical protein PA0572
4578,PA2929,13.808497500000001,0.459704418,-,hypothetical protein PA2929
4579,PA4340,13.808497500000001,0.459704418,-,hypothetical protein PA4340
4580,PA2966,2.80624304,0.459976584,acpP,acyl carrier protein
4581,PA0325,338.6199935,0.460087955,-,ABC transporter permease
4582,PA2930,296.52634789999996,0.460270141,-,transcriptional regulator
4583,PA5380,301.2034196,0.460298871,gbdR,protein GbdR
4584,PA3059,69.75518414,0.460347515,pelF,pellicle/biofilm biosynthesis glycosyltransferase PelF
4585,PA2172,42.49453746,0.461202176,-,hypothetical protein PA2172
4586,PA4918,21.33635581,0.461369285,-,hypothetical protein PA4918
4587,PA1430,4664.19865,0.461792162,lasR,transcriptional regulator LasR
4588,PA5544,62.22732583,0.462340998,-,hypothetical protein PA5544
4589,PA0052,27.43882084,0.465239027,-,hypothetical protein PA0052
4590,PA1319,27.43882084,0.465239027,cyoC,cytochrome o ubiquinol oxidase subunit III
4591,PA4161,185.4793019,0.46588466,fepG,ferric enterobactin transporter FepG
4592,PA5290,743.8771232999999,0.466589199,-,hypothetical protein PA5290
4593,PA0974,12.38310421,0.466591455,-,hypothetical protein PA0974
4594,PA5470,297.7290235,0.467873781,-,peptide chain release factor-like protein
4595,PA5388,77.68393432,0.468305707,-,hypothetical protein PA5388
4596,PA2635,142.3611549,0.468386259,-,hypothetical protein PA2635
4597,PA0429,94.56593609999999,0.468740777,-,hypothetical protein PA0429
4598,PA3170,88.46347107,0.469593848,-,N-ethylammeline chlorohydrolase
4599,PA3858,156.3923701,0.469653484,-,amino acid-binding protein
4600,PA3346,140.93576159999998,0.470037148,-,two-component response regulator
4601,PA1907,45.74621591,0.470246721,-,hypothetical protein PA1907
4602,PA3378,82.36100605,0.470329871,-,hypothetical protein PA3378
4603,PA0189,199.91140900000002,0.470604267,-,porin
4604,PA0838,26.01342755,0.470837106,-,glutathione peroxidase
4605,PA0265,76.25854103,0.4708959,gabD,glutarate-semialdehyde dehydrogenase DavD
4606,PA0939,335.94738110000003,0.471284986,-,hypothetical protein PA0939
4607,PA0945,57.95114595,0.471366868,purM,phosphoribosylformylglycinamidine cyclo-ligase
4608,PA0575,437.19484819999997,0.471387832,-,hypothetical protein PA0575
4609,PA0372,64.05361098,0.471444887,-,zinc protease
4610,PA1245,32.11589257,0.472400616,-,hypothetical protein PA1245
4611,PA3071,32.11589257,0.472400616,-,hypothetical protein PA3071
4612,PA5114,32.11589257,0.472400616,-,hypothetical protein PA5114
4613,PA3273,3.8307444669999997,0.473271985,-,hypothetical protein PA3273
4614,PA4141,3.8307444669999997,0.473271985,-,hypothetical protein PA4141
4615,PA4432,3.8307444669999997,0.473271985,rpsI,30S ribosomal protein S9
4616,PA5149.1,3.8307444669999997,0.473271985,NaN,NaN
4617,PA3303,534.3443097,0.473542887,-,major facilitator superfamily transporter
4618,PA4590,74.83314774,0.473564088,pra,protein activator
4619,PA1984,10.95771092,0.473766017,exaC,NAD+ dependent aldehyde dehydrogenase ExaC
4620,PA4969,152.11619019999998,0.474322945,cpdA,cAMP phosphodiesterase
4621,PA3556,50.42328764,0.474508187,arnT,4-amino-4-deoxy-L-arabinose lipid A transferase
4622,PA5503,50.42328764,0.474508187,-,ABC transporter ATP-binding protein
4623,PA5031,96.39222125,0.474513475,-,short-chain dehydrogenase
4624,PA0075,18.48556923,0.474565429,pppA,serine/threonine phosphatase
4625,PA0999,18.48556923,0.474565429,pqsD,3-oxoacyl-ACP synthase
4626,PA2476,18.48556923,0.474565429,dsbG,thiol:disulfide interchange protein DsbG
4627,PA5344,56.52575266,0.474615903,oxyR,transcriptional regulator
4628,PA0159,135.2341884,0.476961932,-,transcriptional regulator
4629,PA1335,67.30528942,0.477032703,-,two-component response regulator
4630,PA0931,149.26540359999998,0.47757636,pirA,outer membrane receptor FepA
4631,PA1018,61.2028244,0.477604053,-,hypothetical protein PA1018
4632,PA1681,30.69049928,0.477651273,aroC,chorismate synthase
4633,PA4204,93.54143467,0.479249577,ppgL,gluconolactonase PpgL
4634,PA4164,82.76189791,0.479607937,-,hypothetical protein PA4164
4635,PA4278,35.94663704,0.480478129,-,hypothetical protein PA4278
4636,PA0904,202.53947780000001,0.480702351,lysC,aspartokinase
4637,PA3755,197.8624061,0.480782357,-,hypothetical protein PA3755
4638,PA0529,9.532317628,0.480901332,-,hypothetical protein PA0529
4639,PA1477,9.532317628,0.480901332,ccmC,heme exporter protein CcmC
4640,PA1630,9.532317628,0.480901332,-,transcriptional regulator
4641,PA3888,107.5726499,0.481232032,-,ABC transporter permease
4642,PA2920,17.06017594,0.482009059,-,chemotaxis transducer
4643,PA0219,47.57250106,0.482054634,-,aldehyde dehydrogenase
4644,PA3877,47.57250106,0.482054634,narK1,nitrite extrusion protein 1
4645,PA5277,121.60386509999998,0.482206273,lysA,diaminopimelate decarboxylase
4646,PA3388,41.47003604,0.482462132,-,S-adenosylmethionine-dependent methyltransferase RcsF
4647,PA5091,35.36757101,0.482835126,hutG,N-formylglutamate amidohydrolase
4648,PA4145,64.45450284,0.483197065,-,transcriptional regulator
4649,PA2147,86.01357636,0.483374255,katE,catalase HPII
4650,PA1925,23.16264097,0.483427713,-,hypothetical protein PA1925
4651,PA2114,23.16264097,0.483427713,-,major facilitator superfamily transporter
4652,PA3939,23.16264097,0.483427713,-,hypothetical protein PA3939
4653,PA3956,23.16264097,0.483427713,-,hypothetical protein PA3956
4654,PA1846,171.6262608,0.483971808,cti,cis/trans isomerase
4655,PA3612,215.85799640000002,0.484577218,-,hypothetical protein PA3612
4656,PA5529,224.90033509999998,0.484668195,-,sodium/proton antiporter
4657,PA0504,79.91111133,0.485032374,bioD,ATP-dependent dethiobiotin synthetase BioD
4658,PA1545,357.0164757,0.485064016,-,hypothetical protein PA1545
4659,PA4611,98.79757243,0.48535266,-,hypothetical protein PA4611
4660,PA3210,40.04464275,0.487000379,trkH,potassium uptake protein TrkH
4661,PA1280,8.106924337999999,0.487260264,-,hypothetical protein PA1280
4662,PA4369,8.106924337999999,0.487260264,-,hypothetical protein PA4369
4663,PA0286,33.94217772,0.488046822,desA,delta-9 fatty acid desaturase DesA
4664,PA0662,33.94217772,0.488046822,argC,N-acetyl-gamma-glutamyl-phosphate reductase
4665,PA1244,33.94217772,0.488046822,-,hypothetical protein PA1244
4666,EBG00001435455,5.256137758,0.489293044,NaN,NaN
4667,PA0054,5.256137758,0.489293044,-,RNA 2\'-phosphotransferase-like protein
4668,PA2167,5.256137758,0.489293044,-,hypothetical protein PA2167
4669,PA4625,441.6046587,0.489317472,-,hypothetical protein PA4625
4670,PA5259,27.839712699999996,0.489348115,hemD,uroporphyrinogen-III synthase
4671,PA4144,87.83986151,0.489474684,-,hypothetical protein PA4144
4672,PA0364,92.51693324,0.489970347,-,oxidoreductase
4673,PA3489,15.63478265,0.490057712,-,electron transport complex subunit A
4674,PA0124,21.73724768,0.490523123,-,hypothetical protein PA0124
4675,PA2094,21.73724768,0.490523123,-,transmembrane sensor
4676,PA0071,255.59083430000004,0.490934929,-,hypothetical protein PA0071
4677,PA1475,6.681531047999999,0.491183847,ccmA,cytochrome c biogenesis ATP-binding export protein CcmA
4678,PA1621,6.681531047999999,0.491183847,-,hydrolase
4679,PA2000,6.681531047999999,0.491183847,dhcB,dehydrocarnitine CoA transferase subunit B
4680,PA5250,81.73739648,0.491610388,-,hypothetical protein PA5250
4681,PA2592,38.61924946,0.491810707,-,spermidine/putrescine-binding protein
4682,PA5420,123.83104209999999,0.492554396,purU2,formyltetrahydrofolate deformylase
4683,PA0940,70.95785973,0.492761499,-,hypothetical protein PA0940
4684,PA4110,70.95785973,0.492761499,ampC,beta-lactamase
4685,PA0544,109.79982690000001,0.492990853,-,hypothetical protein PA0544
4686,PA0692,49.39878621,0.493077123,-,hypothetical protein PA0692
4687,PA3437,60.17832297,0.493298986,folM,short-chain dehydrogenase
4688,PA4083,32.51678443,0.493623925,cupB4,chaperone CupB4
4689,PA1332,248.06297599999996,0.493631764,-,hypothetical protein PA1332
4690,PA4455,54.07585795,0.495238623,-,ABC transporter permease
4691,PA5383,26.41431941,0.495881002,-,hypothetical protein PA5383
4692,PA0133,69.53246644,0.495973741,-,HTH-type transcriptional activator BauR
4693,PA0162,256.3926181,0.496757559,opdC,histidine porin OpdC
4694,PA5416,74.20953817,0.496850053,soxB,sarcosine oxidase subunit beta
4695,PA3889,116.3031838,0.497199672,-,ABC transporter
4696,PA4827,47.97339292,0.497294039,-,arylamine N-acetyltransferase
4697,PA0195.1,20.31185439,0.498228588,pntAB,NAD(P) transhydrogenase subunit alpha
4698,PA2522,20.31185439,0.498228588,czcC,outer membrane protein CzcC
4699,PA5239,141.5148276,0.49881597,rho,transcription termination factor Rho
4700,PA4221,191.93811519999997,0.499344492,fptA,Fe(III)-pyochelin outer membrane receptor
4701,PA3402,31.09139114,0.499595559,-,hypothetical protein PA3402
4702,PA0017,72.78414488,0.500035277,-,Ribosomal RNA small subunit methyltransferase B
4703,PA1334,144.766506,0.500228909,-,oxidoreductase
4704,PA3663,492.2506641,0.500653013,-,hypothetical protein PA3663
4705,PA3521,24.98892612,0.502937334,-,hypothetical protein PA3521
4706,PA3461,71.35875159,0.503322958,-,hypothetical protein PA3461
4707,PA4228,76.03582332,0.503698574,pchD,"2,3-dihydroxybenzoate-AMP ligase"
4708,PA2480,1522.320034,0.503790213,-,two-component sensor
4709,PA4572,389.444173,0.504437436,fklB,peptidyl-prolyl cis-trans isomerase FklB
4710,PA5425,107.3499322,0.504826399,purK,5-(carboxyamino)imidazole ribonucleotide synthase
4711,PA4477,29.66599785,0.506002575,cafA,cytoplasmic axial filament protein
4712,PA2382,65.25628657,0.506284383,lldA,L-lactate dehydrogenase
4713,PA0469,45.12260634,0.50636968,-,hypothetical protein PA0469
4714,PA2513,18.886461100000002,0.506605894,antB,anthranilate dioxygenase small subunit
4715,PA3365,18.886461100000002,0.506605894,-,chaperone
4716,PA2081,12.78399607,0.508054623,kynB,kynurenine formamidase KynB
4717,PA3193,12.78399607,0.508054623,glk,glucokinase
4718,PA1052,786.059856,0.508120795,-,hypothetical protein PA1052
4719,PA3780,54.47674981,0.508747818,-,hypothetical protein PA3780
4720,PA1074,68.50796501,0.510228631,braC,branched-chain amino acid ABC transporter substrate-binding protein BraC
4721,PA4150,112.42789579999999,0.510978379,-,dehydrogenase E1 component
4722,PA0696,95.14500212,0.511421004,-,hypothetical protein PA0696
4723,PA3173,196.39246930000002,0.511740109,-,short-chain dehydrogenase
4724,PA0839,28.24060456,0.512891148,-,transcriptional regulator
4725,PA4691,28.24060456,0.512891148,-,sulfite oxidase subunit YedZ
4726,PA2759,588.1529063999999,0.513358435,-,hypothetical protein PA2759
4727,PA4140,118.9312527,0.514069495,-,hypothetical protein PA4140
4728,PA0508,122.1829311,0.515453785,-,acyl-CoA dehydrogenase
4729,PA2887,17.461067800000002,0.515716546,atuB,citronellol catabolism dehydrogenase
4730,PA5097,96.97128727,0.516356898,-,amino acid permease
4731,PA0795,117.5058594,0.516528751,prpC,methylcitrate synthase
4732,PA5013,92.29421554,0.51719863,ilvE,branched-chain amino acid aminotransferase
4733,PA0370,65.65717843,0.517617391,-,hypothetical protein PA0370
4734,PA1981,11.35860278,0.518004945,-,hypothetical protein PA1981
4735,PA4732,87.61714381,0.518185339,pgi,glucose-6-phosphate isomerase
4736,PA4062,482.13928039999996,0.518899948,-,hypothetical protein PA4062
4737,PA0533,78.26300034,0.519791561,-,transcriptional regulator
4738,PA5287,211.62636009999997,0.51991922,amtB,ammonium transporter
4739,PA0680,26.81521127,0.520313503,-,HxcV pseudopilin
